key,values
"['01', '8', '2013']","['400', '228']"
"['01', '8', '2014']","['383', '212']"
"['01', '8', '2015']","['368', '242']"
"['01', '8', '2016']","['379', '223']"
"['01', '8', '2017']","['442', '264']"
"['01', '8', '2018']","['509', '225']"
"['01', '8', '2019']","['480', '227']"
"['01', '8', '2020']","['301', '282']"
"['01', '8', '2021']","['386', '256']"
"['01', '8', '2022']","['383', '307']"
"['01', '8', '2023']","['271', '385']"
"['01', '9', '2008']","['339', '144']"
"['01', '9', '2009']","['340', '121']"
"['01', '9', '2010']","['313', '132']"
"['01', '9', '2011']","['336', '146']"
"['01', '9', '2012']","['353', '188']"
"['01', '9', '2013']","['376', '193']"
"['01', '9', '2014']","['370', '188']"
"['01', '9', '2015']","['375', '242']"
"['01', '9', '2016']","['375', '178']"
"['01', '9', '2017']","['443', '224']"
"['01', '9', '2018']","['519', '230']"
"['01', '9', '2019']","['473', '215']"
"['01', '9', '2020']","['335', '258']"
"['01', '9', '2021']","['369', '263']"
"['01', '9', '2022']","['346', '247']"
"['01', '9', '2023']","['292', '329']"
"['01', '10', '2008']","['316', '149']"
"['01', '10', '2009']","['318', '109']"
"['01', '10', '2010']","['299', '150']"
"['01', '10', '2011']","['302', '143']"
"['01', '10', '2012']","['353', '154']"
"['01', '10', '2013']","['353', '163']"
"['01', '10', '2014']","['374', '166']"
"['01', '10', '2015']","['372', '186']"
"['01', '10', '2016']","['341', '200']"
"['01', '10', '2017']","['404', '229']"
"['01', '10', '2018']","['537', '182']"
"['01', '10', '2019']","['474', '196']"
"['01', '10', '2020']","['324', '256']"
"['01', '10', '2021']","['339', '232']"
"['01', '10', '2022']","['351', '259']"
"['01', '10', '2023']","['273', '284']"
"['01', '11', '2008']","['317', '143']"
"['01', '11', '2009']","['316', '98']"
"['01', '11', '2010']","['296', '120']"
"['01', '11', '2011']","['326', '138']"
"['01', '11', '2012']","['376', '152']"
"['01', '11', '2013']","['376', '137']"
"['01', '11', '2014']","['338', '159']"
"['01', '11', '2015']","['351', '194']"
"['01', '11', '2016']","['339', '176']"
"['01', '11', '2017']","['415', '161']"
"['01', '11', '2018']","['452', '178']"
"['01', '11', '2019']","['474', '160']"
"['01', '11', '2020']","['314', '213']"
"['01', '11', '2021']","['337', '218']"
"['01', '11', '2022']","['327', '232']"
"['01', '11', '2023']","['222', '257']"
"['01', '12', '2008']","['301', '96']"
"['01', '12', '2009']","['314', '90']"
"['01', '12', '2010']","['282', '111']"
"['01', '12', '2011']","['299', '105']"
"['01', '12', '2012']","['380', '109']"
"['01', '12', '2013']","['342', '134']"
"['01', '12', '2014']","['330', '148']"
"['01', '12', '2015']","['362', '155']"
"['01', '12', '2016']","['361', '150']"
"['01', '12', '2017']","['404', '198']"
"['01', '12', '2018']","['418', '150']"
"['01', '12', '2019']","['406', '154']"
"['01', '12', '2020']","['317', '179']"
"['01', '12', '2021']","['316', '204']"
"['01', '12', '2022']","['320', '209']"
"['01', '12', '2023']","['278', '262']"
"['01', '13', '2008']","['315', '124']"
"['01', '13', '2009']","['327', '85']"
"['01', '13', '2010']","['273', '92']"
"['01', '13', '2011']","['299', '109']"
"['01', '13', '2012']","['340', '124']"
"['01', '13', '2013']","['377', '140']"
"['01', '13', '2014']","['374', '112']"
"['01', '13', '2015']","['355', '152']"
"['01', '13', '2016']","['343', '118']"
"['01', '13', '2017']","['369', '162']"
"['01', '13', '2018']","['450', '140']"
"['01', '13', '2019']","['411', '130']"
"['01', '13', '2020']","['288', '163']"
"['01', '13', '2021']","['343', '188']"
"['01', '13', '2022']","['326', '202']"
"['01', '13', '2023']","['257', '220']"
"['01', '14', '2008']","['347', '110']"
"['01', '14', '2009']","['305', '84']"
"['01', '14', '2010']","['290', '108']"
"['01', '14', '2011']","['309', '87']"
"['01', '14', '2012']","['366', '94']"
"['01', '14', '2013']","['379', '122']"
"['01', '14', '2014']","['342', '106']"
"['01', '14', '2015']","['355', '127']"
"['01', '14', '2016']","['337', '125']"
"['01', '14', '2017']","['357', '137']"
"['01', '14', '2018']","['436', '110']"
"['01', '14', '2019']","['375', '113']"
"['01', '14', '2020']","['260', '137']"
"['01', '14', '2021']","['315', '167']"
"['01', '14', '2022']","['284', '168']"
"['01', '14', '2023']","['240', '178']"
"['01', '15', '2008']","['317', '93']"
"['01', '15', '2009']","['328', '66']"
"['01', '15', '2010']","['318', '76']"
"['01', '15', '2011']","['319', '86']"
"['01', '15', '2012']","['355', '76']"
"['01', '15', '2013']","['384', '127']"
"['01', '15', '2014']","['351', '102']"
"['01', '15', '2015']","['436', '113']"
"['01', '15', '2016']","['399', '114']"
"['01', '15', '2017']","['402', '121']"
"['01', '15', '2018']","['361', '150']"
"['01', '15', '2019']","['344', '112']"
"['01', '15', '2020']","['262', '105']"
"['01', '15', '2021']","['300', '140']"
"['01', '15', '2022']","['271', '138']"
"['01', '15', '2023']","['235', '160']"
"['01', '16', '2008']","['331', '101']"
"['01', '16', '2009']","['398', '75']"
"['01', '16', '2010']","['371', '78']"
"['01', '16', '2011']","['423', '72']"
"['01', '16', '2012']","['448', '79']"
"['01', '16', '2013']","['451', '109']"
"['01', '16', '2014']","['446', '85']"
"['01', '16', '2015']","['482', '99']"
"['01', '16', '2016']","['515', '91']"
"['01', '16', '2017']","['529', '114']"
"['01', '16', '2018']","['442', '115']"
"['01', '16', '2019']","['399', '100']"
"['01', '16', '2020']","['309', '122']"
"['01', '16', '2021']","['324', '132']"
"['01', '16', '2022']","['292', '108']"
"['01', '16', '2023']","['268', '156']"
"['01', '17', '2008']","['369', '58']"
"['01', '17', '2009']","['348', '47']"
"['01', '17', '2010']","['345', '69']"
"['01', '17', '2011']","['406', '70']"
"['01', '17', '2012']","['401', '75']"
"['01', '17', '2013']","['375', '69']"
"['01', '17', '2014']","['421', '76']"
"['01', '17', '2015']","['524', '79']"
"['01', '17', '2016']","['573', '84']"
"['01', '17', '2017']","['653', '81']"
"['01', '17', '2018']","['391', '72']"
"['01', '17', '2019']","['321', '61']"
"['01', '17', '2020']","['242', '92']"
"['01', '17', '2021']","['248', '97']"
"['01', '17', '2022']","['255', '82']"
"['01', '17', '2023']","['229', '85']"
"['01', '18', '2008']","['346', '79']"
"['01', '18', '2009']","['338', '55']"
"['01', '18', '2010']","['351', '53']"
"['01', '18', '2011']","['343', '64']"
"['01', '18', '2012']","['399', '69']"
"['01', '18', '2013']","['428', '92']"
"['01', '18', '2014']","['435', '91']"
"['01', '18', '2015']","['487', '87']"
"['01', '18', '2016']","['585', '70']"
"['01', '18', '2017']","['1047', '80']"
"['01', '18', '2018']","['620', '86']"
"['01', '18', '2019']","['430', '75']"
"['01', '18', '2020']","['292', '68']"
"['01', '18', '2021']","['334', '66']"
"['01', '18', '2022']","['356', '80']"
"['01', '18', '2023']","['355', '93']"
"['01', '19', '2008']","['383', '110']"
"['01', '19', '2009']","['420', '84']"
"['01', '19', '2010']","['405', '108']"
"['01', '19', '2011']","['424', '112']"
"['01', '19', '2012']","['432', '124']"
"['01', '19', '2013']","['461', '139']"
"['01', '19', '2014']","['468', '128']"
"['01', '19', '2015']","['493', '115']"
"['01', '19', '2016']","['485', '102']"
"['01', '19', '2017']","['453', '94']"
"['01', '19', '2018']","['970', '125']"
"['01', '19', '2019']","['590', '94']"
"['01', '19', '2020']","['299', '99']"
"['01', '19', '2021']","['376', '119']"
"['01', '19', '2022']","['398', '112']"
"['01', '19', '2023']","['388', '135']"
"['03', '0', '2008']","['33', '13']"
"['03', '0', '2009']","['18', '7']"
"['03', '0', '2010']","['23', '8']"
"['03', '0', '2011']","['19', '11']"
"['03', '0', '2012']","['21', '8']"
"['03', '0', '2013']","['17', '7']"
"['03', '0', '2014']","['36', '1']"
"['03', '0', '2015']","['31', '5']"
"['03', '0', '2016']","['46', '5']"
"['03', '0', '2017']","['36', '6']"
"['03', '0', '2018']","['41', '4']"
"['03', '0', '2019']","['34', '4']"
"['03', '0', '2020']","['26', '3']"
"['03', '0', '2021']","['26', '4']"
"['03', '0', '2022']","['22', '3']"
"['03', '0', '2023']","['33', '4']"
"['03', '1', '2008']","['63', '22']"
"['03', '1', '2009']","['64', '26']"
"['03', '1', '2010']","['52', '33']"
"['03', '1', '2011']","['52', '28']"
"['03', '1', '2012']","['54', '24']"
"['03', '1', '2013']","['57', '35']"
"['03', '1', '2014']","['50', '30']"
"['03', '1', '2015']","['75', '25']"
"['03', '1', '2016']","['111', '17']"
"['03', '1', '2017']","['95', '22']"
"['03', '1', '2018']","['83', '16']"
"['03', '1', '2019']","['83', '30']"
"['03', '1', '2020']","['61', '19']"
"['03', '1', '2021']","['46', '15']"
"['03', '1', '2022']","['72', '25']"
"['03', '1', '2023']","['59', '31']"
"['03', '2', '2008']","['45', '20']"
"['03', '2', '2009']","['48', '27']"
"['03', '2', '2010']","['52', '28']"
"['03', '2', '2011']","['40', '22']"
"['03', '2', '2012']","['42', '25']"
"['03', '2', '2013']","['45', '25']"
"['03', '2', '2014']","['64', '25']"
"['03', '2', '2015']","['47', '24']"
"['03', '2', '2016']","['69', '22']"
"['03', '2', '2017']","['79', '16']"
"['03', '2', '2018']","['66', '26']"
"['03', '2', '2019']","['59', '17']"
"['03', '2', '2020']","['35', '29']"
"['03', '2', '2021']","['46', '31']"
"['03', '2', '2022']","['64', '25']"
"['03', '2', '2023']","['59', '40']"
"['03', '3', '2008']","['43', '26']"
"['03', '3', '2009']","['36', '25']"
"['03', '3', '2010']","['35', '23']"
"['03', '3', '2011']","['48', '32']"
"['03', '3', '2012']","['51', '30']"
"['03', '3', '2013']","['45', '30']"
"['03', '3', '2014']","['47', '33']"
"['03', '3', '2015']","['72', '31']"
"['03', '3', '2016']","['69', '21']"
"['03', '3', '2017']","['79', '32']"
"['03', '3', '2018']","['56', '25']"
"['03', '3', '2019']","['67', '34']"
"['03', '3', '2020']","['36', '20']"
"['03', '3', '2021']","['50', '35']"
"['03', '3', '2022']","['66', '32']"
"['03', '3', '2023']","['42', '43']"
"['03', '4', '2008']","['38', '24']"
"['03', '4', '2009']","['41', '11']"
"['03', '4', '2010']","['37', '26']"
"['03', '4', '2011']","['33', '15']"
"['03', '4', '2012']","['46', '30']"
"['03', '4', '2013']","['44', '31']"
"['03', '4', '2014']","['43', '27']"
"['03', '4', '2015']","['47', '27']"
"['03', '4', '2016']","['71', '22']"
"['03', '4', '2017']","['77', '22']"
"['03', '4', '2018']","['78', '24']"
"['03', '4', '2019']","['75', '26']"
"['03', '4', '2020']","['46', '32']"
"['03', '4', '2021']","['45', '34']"
"['03', '4', '2022']","['54', '30']"
"['03', '4', '2023']","['49', '53']"
"['03', '5', '2008']","['51', '15']"
"['03', '5', '2009']","['39', '23']"
"['03', '5', '2010']","['29', '21']"
"['03', '5', '2011']","['39', '28']"
"['03', '5', '2012']","['38', '28']"
"['03', '5', '2013']","['36', '30']"
"['03', '5', '2014']","['52', '28']"
"['03', '5', '2015']","['57', '19']"
"['03', '5', '2016']","['63', '23']"
"['03', '5', '2017']","['84', '21']"
"['03', '5', '2018']","['68', '23']"
"['03', '5', '2019']","['47', '24']"
"['03', '5', '2020']","['32', '25']"
"['03', '5', '2021']","['46', '35']"
"['03', '5', '2022']","['52', '39']"
"['03', '5', '2023']","['34', '42']"
"['03', '6', '2008']","['37', '19']"
"['03', '6', '2009']","['28', '14']"
"['03', '6', '2010']","['33', '14']"
"['03', '6', '2011']","['24', '14']"
"['03', '6', '2012']","['39', '24']"
"['03', '6', '2013']","['48', '36']"
"['03', '6', '2014']","['40', '23']"
"['03', '6', '2015']","['54', '30']"
"['03', '6', '2016']","['62', '13']"
"['03', '6', '2017']","['66', '20']"
"['03', '6', '2018']","['82', '25']"
"['03', '6', '2019']","['63', '32']"
"['03', '6', '2020']","['20', '33']"
"['03', '6', '2021']","['46', '40']"
"['03', '6', '2022']","['43', '45']"
"['03', '6', '2023']","['37', '57']"
"['03', '7', '2008']","['29', '24']"
"['03', '7', '2009']","['30', '15']"
"['03', '7', '2010']","['34', '17']"
"['03', '7', '2011']","['32', '21']"
"['03', '7', '2012']","['33', '17']"
"['03', '7', '2013']","['49', '24']"
"['03', '7', '2014']","['47', '32']"
"['03', '7', '2015']","['61', '30']"
"['03', '7', '2016']","['60', '23']"
"['03', '7', '2017']","['79', '24']"
"['03', '7', '2018']","['72', '24']"
"['03', '7', '2019']","['48', '27']"
"['03', '7', '2020']","['32', '27']"
"['03', '7', '2021']","['28', '28']"
"['03', '7', '2022']","['45', '36']"
"['03', '7', '2023']","['40', '55']"
"['03', '8', '2008']","['38', '8']"
"['03', '8', '2009']","['27', '16']"
"['03', '8', '2010']","['30', '24']"
"['03', '8', '2011']","['17', '17']"
"['03', '8', '2012']","['41', '22']"
"['03', '8', '2013']","['48', '19']"
"['03', '8', '2014']","['45', '27']"
"['03', '8', '2015']","['57', '17']"
"['03', '8', '2016']","['48', '13']"
"['03', '8', '2017']","['57', '26']"
"['03', '8', '2018']","['68', '29']"
"['03', '8', '2019']","['46', '27']"
"['03', '8', '2020']","['34', '20']"
"['03', '8', '2021']","['32', '29']"
"['03', '8', '2022']","['41', '31']"
"['03', '8', '2023']","['31', '48']"
"['03', '9', '2008']","['28', '9']"
"['03', '9', '2009']","['33', '9']"
"['03', '9', '2010']","['28', '18']"
"['03', '9', '2011']","['22', '19']"
"['03', '9', '2012']","['30', '7']"
"['03', '9', '2013']","['43', '14']"
"['03', '9', '2014']","['39', '15']"
"['03', '9', '2015']","['56', '19']"
"['03', '9', '2016']","['62', '18']"
"['03', '9', '2017']","['77', '16']"
"['03', '9', '2018']","['53', '17']"
"['03', '9', '2019']","['51', '27']"
"['03', '9', '2020']","['23', '24']"
"['03', '9', '2021']","['37', '25']"
"['03', '9', '2022']","['44', '29']"
"['03', '9', '2023']","['30', '37']"
"['03', '10', '2008']","['31', '8']"
"['03', '10', '2009']","['28', '16']"
"['03', '10', '2010']","['24', '18']"
"['03', '10', '2011']","['17', '12']"
"['03', '10', '2012']","['36', '19']"
"['03', '10', '2013']","['40', '17']"
"['03', '10', '2014']","['31', '12']"
"['03', '10', '2015']","['63', '13']"
"['03', '10', '2016']","['49', '9']"
"['03', '10', '2017']","['53', '13']"
"['03', '10', '2018']","['55', '16']"
"['03', '10', '2019']","['37', '15']"
"['03', '10', '2020']","['30', '17']"
"['03', '10', '2021']","['33', '19']"
"['03', '10', '2022']","['23', '28']"
"['03', '10', '2023']","['30', '40']"
"['03', '11', '2008']","['32', '13']"
"['03', '11', '2009']","['29', '10']"
"['03', '11', '2010']","['25', '8']"
"['03', '11', '2011']","['23', '11']"
"['03', '11', '2012']","['28', '12']"
"['03', '11', '2013']","['55', '14']"
"['03', '11', '2014']","['44', '15']"
"['03', '11', '2015']","['46', '10']"
"['03', '11', '2016']","['56', '17']"
"['03', '11', '2017']","['67', '8']"
"['03', '11', '2018']","['59', '9']"
"['03', '11', '2019']","['51', '23']"
"['03', '11', '2020']","['28', '28']"
"['03', '11', '2021']","['31', '24']"
"['03', '11', '2022']","['32', '21']"
"['03', '11', '2023']","['37', '31']"
"['03', '12', '2008']","['33', '10']"
"['03', '12', '2009']","['31', '6']"
"['03', '12', '2010']","['28', '11']"
"['03', '12', '2011']","['17', '7']"
"['03', '12', '2012']","['30', '15']"
"['03', '12', '2013']","['47', '9']"
"['03', '12', '2014']","['42', '14']"
"['03', '12', '2015']","['45', '11']"
"['03', '12', '2016']","['42', '11']"
"['03', '12', '2017']","['54', '10']"
"['03', '12', '2018']","['54', '15']"
"['03', '12', '2019']","['46', '14']"
"['03', '12', '2020']","['31', '12']"
"['03', '12', '2021']","['35', '22']"
"['03', '12', '2022']","['36', '20']"
"['03', '12', '2023']","['22', '21']"
"['03', '13', '2008']","['29', '7']"
"['03', '13', '2009']","['27', '7']"
"['03', '13', '2010']","['21', '16']"
"['03', '13', '2011']","['32', '16']"
"['03', '13', '2012']","['22', '9']"
"['03', '13', '2013']","['29', '17']"
"['03', '13', '2014']","['34', '17']"
"['03', '13', '2015']","['60', '5']"
"['03', '13', '2016']","['48', '6']"
"['03', '13', '2017']","['49', '12']"
"['03', '13', '2018']","['56', '9']"
"['03', '13', '2019']","['42', '19']"
"['03', '13', '2020']","['33', '18']"
"['03', '13', '2021']","['22', '22']"
"['03', '13', '2022']","['32', '22']"
"['03', '13', '2023']","['29', '18']"
"['03', '14', '2008']","['38', '6']"
"['03', '14', '2009']","['33', '4']"
"['03', '14', '2010']","['38', '11']"
"['03', '14', '2011']","['22', '11']"
"['03', '14', '2012']","['32', '15']"
"['03', '14', '2013']","['48', '10']"
"['03', '14', '2014']","['33', '11']"
"['03', '14', '2015']","['55', '7']"
"['03', '14', '2016']","['58', '6']"
"['03', '14', '2017']","['54', '10']"
"['03', '14', '2018']","['44', '15']"
"['03', '14', '2019']","['49', '10']"
"['03', '14', '2020']","['32', '10']"
"['03', '14', '2021']","['38', '7']"
"['03', '14', '2022']","['24', '13']"
"['03', '14', '2023']","['22', '23']"
"['03', '15', '2008']","['33', '5']"
"['03', '15', '2009']","['39', '6']"
"['03', '15', '2010']","['28', '11']"
"['03', '15', '2011']","['34', '16']"
"['03', '15', '2012']","['42', '9']"
"['03', '15', '2013']","['57', '11']"
"['03', '15', '2014']","['42', '10']"
"['03', '15', '2015']","['56', '2']"
"['03', '15', '2016']","['81', '10']"
"['03', '15', '2017']","['79', '10']"
"['03', '15', '2018']","['44', '5']"
"['03', '15', '2019']","['39', '11']"
"['03', '15', '2020']","['27', '9']"
"['03', '15', '2021']","['31', '11']"
"['03', '15', '2022']","['32', '13']"
"['03', '15', '2023']","['19', '20']"
"['03', '16', '2008']","['34', '7']"
"['03', '16', '2009']","['40', '5']"
"['03', '16', '2010']","['32', '11']"
"['03', '16', '2011']","['47', '7']"
"['03', '16', '2012']","['34', '10']"
"['03', '16', '2013']","['56', '7']"
"['03', '16', '2014']","['67', '11']"
"['03', '16', '2015']","['86', '3']"
"['03', '16', '2016']","['113', '2']"
"['03', '16', '2017']","['91', '5']"
"['03', '16', '2018']","['70', '8']"
"['03', '16', '2019']","['37', '10']"
"['03', '16', '2020']","['34', '6']"
"['03', '16', '2021']","['37', '11']"
"['03', '16', '2022']","['38', '8']"
"['03', '16', '2023']","['28', '15']"
"['03', '17', '2008']","['49', '6']"
"['03', '17', '2009']","['49', '11']"
"['03', '17', '2010']","['55', '10']"
"['03', '17', '2011']","['54', '8']"
"['03', '17', '2012']","['54', '5']"
"['03', '17', '2013']","['67', '6']"
"['03', '17', '2014']","['61', '11']"
"['03', '17', '2015']","['81', '4']"
"['03', '17', '2016']","['118', '5']"
"['03', '17', '2017']","['108', '10']"
"['03', '17', '2018']","['58', '5']"
"['03', '17', '2019']","['48', '3']"
"['03', '17', '2020']","['30', '6']"
"['03', '17', '2021']","['40', '9']"
"['03', '17', '2022']","['25', '14']"
"['03', '17', '2023']","['21', '18']"
"['03', '18', '2008']","['47', '13']"
"['03', '18', '2009']","['52', '4']"
"['03', '18', '2010']","['44', '5']"
"['03', '18', '2011']","['37', '7']"
"['03', '18', '2012']","['25', '6']"
"['03', '18', '2013']","['36', '7']"
"['03', '18', '2014']","['54', '6']"
"['03', '18', '2015']","['83', '9']"
"['03', '18', '2016']","['125', '4']"
"['03', '18', '2017']","['182', '4']"
"['03', '18', '2018']","['101', '6']"
"['03', '18', '2019']","['33', '3']"
"['03', '18', '2020']","['40', '9']"
"['03', '18', '2021']","['28', '5']"
"['03', '18', '2022']","['36', '2']"
"['03', '18', '2023']","['37', '11']"
"['03', '19', '2008']","['45', '10']"
"['03', '19', '2009']","['71', '22']"
"['03', '19', '2010']","['68', '11']"
"['03', '19', '2011']","['38', '19']"
"['03', '19', '2012']","['66', '11']"
"['03', '19', '2013']","['50', '22']"
"['03', '19', '2014']","['61', '10']"
"['03', '19', '2015']","['67', '11']"
"['03', '19', '2016']","['108', '13']"
"['03', '19', '2017']","['69', '16']"
"['03', '19', '2018']","['212', '19']"
"['03', '19', '2019']","['111', '14']"
"['03', '19', '2020']","['41', '7']"
"['03', '19', '2021']","['60', '15']"
"['03', '19', '2022']","['50', '13']"
"['03', '19', '2023']","['44', '22']"
"['04', '0', '2008']","['16', '4']"
"['04', '0', '2009']","['29', '3']"
"['04', '0', '2010']","['17', '2']"
"['04', '0', '2011']","['24', '4']"
"['04', '0', '2012']","['18', '7']"
"['04', '0', '2013']","['27', '1']"
"['04', '0', '2014']","['32', '2']"
"['04', '0', '2015']","['36', '2']"
"['04', '0', '2016']","['61', '1']"
"['04', '0', '2017']","['44', '1']"
"['04', '0', '2018']","['32', '0']"
"['04', '0', '2019']","['28', '0']"
"['04', '0', '2020']","['22', '4']"
"['04', '0', '2021']","['11', '3']"
"['04', '0', '2022']","['18', '2']"
"['04', '0', '2023']","['7', '2']"
"['04', '1', '2008']","['51', '9']"
"['04', '1', '2009']","['44', '10']"
"['04', '1', '2010']","['39', '12']"
"['04', '1', '2011']","['43', '13']"
"['04', '1', '2012']","['36', '13']"
"['04', '1', '2013']","['56', '18']"
"['04', '1', '2014']","['47', '6']"
"['04', '1', '2015']","['53', '9']"
"['04', '1', '2016']","['105', '7']"
"['04', '1', '2017']","['106', '4']"
"['04', '1', '2018']","['77', '6']"
"['04', '1', '2019']","['48', '11']"
"['04', '1', '2020']","['36', '12']"
"['04', '1', '2021']","['47', '12']"
"['04', '1', '2022']","['37', '15']"
"['04', '1', '2023']","['29', '26']"
"['04', '2', '2008']","['64', '10']"
"['04', '2', '2009']","['39', '6']"
"['04', '2', '2010']","['39', '14']"
"['04', '2', '2011']","['34', '11']"
"['04', '2', '2012']","['35', '15']"
"['04', '2', '2013']","['51', '13']"
"['04', '2', '2014']","['75', '9']"
"['04', '2', '2015']","['66', '8']"
"['04', '2', '2016']","['111', '8']"
"['04', '2', '2017']","['70', '13']"
"['04', '2', '2018']","['61', '9']"
"['04', '2', '2019']","['36', '14']"
"['04', '2', '2020']","['31', '20']"
"['04', '2', '2021']","['30', '16']"
"['04', '2', '2022']","['32', '32']"
"['04', '2', '2023']","['23', '36']"
"['04', '3', '2008']","['49', '11']"
"['04', '3', '2009']","['42', '7']"
"['04', '3', '2010']","['33', '14']"
"['04', '3', '2011']","['33', '15']"
"['04', '3', '2012']","['52', '21']"
"['04', '3', '2013']","['54', '17']"
"['04', '3', '2014']","['65', '12']"
"['04', '3', '2015']","['79', '17']"
"['04', '3', '2016']","['83', '10']"
"['04', '3', '2017']","['84', '12']"
"['04', '3', '2018']","['52', '10']"
